Division,Panel Name,lastname,firstname,department,College  ,Rank,Award Amt,Award Title
Physical Sciences,Physics,Ayzin,Grigoriy,PHYSICAL SCIENCES,KINGSBOROUGH C. C.,ASSCP,"$4,142.00",Magnetoacooustic Transport in Narrow Electron Channels
Physical Sciences,Physics,Bergou,Janos,PHYSICS,HUNTER COLLEGE,PROF,"$3,314.00",Entanglement in Cavity QED with Applications in Quantum Information Processing
Physical Sciences,Physics,Bieber,Amy,PHYSICS,QUEENSBOROUGH C. C.,ASSTP,"$4,142.00",Optimized Design of Silicon Based Optical Switching Structures
Physical Sciences,Physics,Boyer,Timothy,PHYSICS,CITY COLLEGE,PROF,"$3,314.00",Magnetic Moment Models and Hidden Momentum
Physical Sciences,Physics,Cadieu,Fred,PHYSICS,QUEENS COLLEGE,PROF,"$3,314.00","Synthesis of Transparent Conducting Oxide Films, CuAIO2 Type, doped and undoped films."
Physical Sciences,Physics,Catto,Sultan,NATURAL SCIENCE,BARUCH COLLEGE,PROF,"$3,314.00","QCD, Supersymmetry, Conformal Structures and Automorphic Forms"
Physical Sciences,Physics,Chen,Ying-Chih,PHYSICS,HUNTER COLLEGE,PROF,"$3,314.00",RGB Resonant Cavity light emitting diodes based on II-VI compound Semiconductors
Physical Sciences,Physics,Chencinski,Norbert,ENGINEERING SCIENCE & PHYSICS,COLLEGE OF STATEN ISLAND,PROF,"$3,314.00",Transient effects in strong field four wave mixing
Physical Sciences,Physics,Chudnovsky,Eugene,PHYSICS,LEHMAN COLLEGE,DISTP,"$3,314.00",Long Range Dipole Ordering in Molecular Nanomagnets.
Physical Sciences,Physics,Dickey,J. Marion,PHYSICS,QUEENS COLLEGE,PROF,"$3,314.00",Electron Energy Loss Spectra of Thin Films
Physical Sciences,Physics,Genack,Azriel,PHYSICS,QUEENS COLLEGE,DISTP,"$3,314.00",Photon Localization in Resonant Media
Physical Sciences,Physics,Gerry,Christopher,PHYSICS AND ASTRONOMY,LEHMAN COLLEGE,ASSTP,"$4,142.00",Generation of Maximally Entangled Photonic States with applications to Interferometry and Lihography.
Physical Sciences,Physics,Gersten,Joel,PHYSICS,CITY COLLEGE,PROF,"$3,314.00",Phase-conjugate imaging of objects embedded diffusing scattering media
Physical Sciences,Physics,Gorokhovsky,Anshel,ENGINEERING SCIENCE & PHYSICS,COLLEGE OF STATEN ISLAND,ASSCP,"$4,142.00",Lasser SPecteoscopic Studies of Phthalocyanine Derivatives for Hole Burning Optical Storage
Physical Sciences,Physics,Gumbs,Godfrey,PHYSICS,HUNTER COLLEGE,PROF,"$3,314.00",Transport in quantum dot lattices in a periodic magnetic field
Physical Sciences,Physics,Gunner,Marilyn,PHYSICS,CITY COLLEGE,ASSCP,"$3,314.00",Calculation of side chain pKa's with the multitude conformation  continuum electrostatic method
Physical Sciences,Physics,Kaku,Michio,PHYSICS,CITY COLLEGE,PROF,"$3,314.00",Origin of M-theory.
Physical Sciences,Physics,Karabali,Dimitra,PHYSICS,LEHMAN COLLEGE,ASSTP,"$4,142.00",Mass Gap and Confinement in Gauge Theories.
Physical Sciences,Physics,Khuri,Ramzi,NATURAL SCIENCE,BARUCH COLLEGE,ASSTP,"$4,142.00",String Theory and Quantum Black Holes
Physical Sciences,Physics,Koplik,Joel,LEVICH INST OF APPLD PHY-CHEM,CITY COLLEGE,PROF,"$3,314.00",Molecular studies of wetting phenomena
Physical Sciences,Physics,Kuklov,Anatoly,ENGINEERING SCIENCE & PHYSICS,COLLEGE OF STATEN ISLAND,ASSCP,"$4,142.00",Josephson Effect and Coherent Emission of Light by the Excitonic Bose-Einstein Condensate. Part II Testing Mechanisms of the Collision Induced Decay of the Excitonic Bose-Einstein Condensate by two-photon absorption of light.
Physical Sciences,Physics,Levine,Alfred,ENGINEERING SCIENCE & PHYSICS,COLLEGE OF STATEN ISLAND,PROF,"$3,314.00",The Atomic structure  and transport properties of large angle grain boundaries containing oxygen vacancies in YBCO.
Physical Sciences,Physics,Liou,Ming-Kung,PHYSICS,BROOKLYN COLLEGE,PROF,"$3,314.00",Determination of Electromagnetic Properties of the Rho Meson & Investigation of Pion Production in Proton-Proton Collisions Near Threshold.
Physical Sciences,Physics,Lisyansky,Alexander,PHYSICS,QUEENS COLLEGE,PROF,"$3,314.00",Polariton Optics of Disordered Crystals.
Physical Sciences,Physics,Nair,V. Parameswaran,PHYSICS,CITY COLLEGE,PROF,"$3,314.00",Studies in Gauge Theories.
Physical Sciences,Physics,Orland,Peter,NATURAL SCIENCE,BARUCH COLLEGE,PROF,"$3,314.00",Investigations in string and Gauge Theory
Physical Sciences,Physics,Pollak,Fred,PHYSICS,BROOKLYN COLLEGE,DISTP,"$3,314.00",Surface Photovoltage Investigation of Semiconductor Device Structures.
Physical Sciences,Physics,Rosenberg,Seth,PHYSICS,CITY COLLEGE,ASSTP,"$4,142.00",An investigation of the effectiveness of computer based instruction introductory physics
Physical Sciences,Physics,Sahni,Viraht,PHYSICS,BROOKLYN COLLEGE,PROF,"$3,314.00","Quantal density functional theory of the density amplitude, and the Pauli potential and kinetic energy."
Physical Sciences,Physics,Samuel,Stuart,PHYSICS,CITY COLLEGE,PROF,"$3,314.00",The Standard Model in Other Regions of Parameter Space
Physical Sciences,Physics,Schmeltzer,David,PHYSICS,CITY COLLEGE,PROF,"$3,314.00",Transport in Quantum Wires.
Physical Sciences,Physics,Schreiber,William,ENGINEERING SCIENCE & PHYSICS,COLLEGE OF STATEN ISLAND,PROF,"$3,314.00",Studies of Nucleon-Nucleon Bremsstrahlung Processes and their implications
Physical Sciences,Physics,Schwartz,Brian,PHYSICS,GRADUATE SCHOOL,PROF,"$3,314.00",Cellular Automata Solutions of Traffic in an urban grid
Physical Sciences,Physics,Shakin,Carl,PHYSICS,BROOKLYN COLLEGE,DISTP,"$3,314.00",Study of Light meson Properties
Physical Sciences,Physics,Smith,Frederick,PHYSICS,CITY COLLEGE,PROF,"$3,314.00",Carbon Nanotube Formation from Silicon Carbide
Physical Sciences,Physics,Sundaram,Bala,MATHEMATICS,COLLEGE OF STATEN ISLAND,ASSCP,"$4,142.00",Stochastic Cooling and Multiparticle effects in confined geometries
Physical Sciences,Physics,Tomkiewicz,Michal,PHYSICS,BROOKLYN COLLEGE,PROF,"$3,314.00",Measurements of Possible  Polarization of TiO2 Nanoparticles
Physical Sciences,Physics,Weil,Melinda,SCIENCE/ENGINEERING,BOROUGH OF MANHATTAN C. C.,ASSTP,"$4,142.00",The Formation of Globular Clusters During Galaxy evolution II Lambda CDM
Physical Sciences,Physics,denBoer,Marten,PHYSICS,HUNTER COLLEGE,PROF,"$3,314.00",Interplay of Structural and Electronic Degrees of Freedom in Selected Oxide
Social Sciences,Anthropology,Bankoff,H. Arthur,ANTHROPOLOGY,BROOKLYN COLLEGE,PROF,"$3,262.00",The Bronze Age of Serbia: 1990-2000
Social Sciences,Anthropology,Bayoumi,Moustafa,ENGLISH,BROOKLYN COLLEGE,ASSTP,"$3,000.00",No Struggle can assail us: Captivity and Freedom in African American Islam
Social Sciences,Anthropology,Bornstein,Avram,ANTHROPOLOGY,JOHN JAY,ASSTP,"$5,297.00",American Dreaming in the Palestinian West Bank
Social Sciences,Anthropology,Bromage,Timothy,ANTHROPOLOGY,HUNTER COLLEGE,PROF,"$3,262.00",Paleoanthropological significance of skeletal microstructure of ungulate teeth and post-cranial bone derived from hominid bearing localities of East and South Africa
Social Sciences,Anthropology,Chou,Eva Shan,ENGLISH,BARUCH COLLEGE,ASSTP,"$4,078.00","Lu Xun Cuts his Queue: Writing, Politics and Identity in Early 20th Century China"
Social Sciences,Anthropology,Creed,Gerald,ANTHROPOLOGY,HUNTER COLLEGE,ASSCP,"$3,262.00",A Community in Spite of Itself: Ritual and Conflict in Rural Bulgaria
Social Sciences,Anthropology,Crehan,Kate,"PSYCH, SOCIO, ANTHRO, AND SOC",COLLEGE OF STATEN ISLAND,ASSTP,"$3,578.00",Gramsci in the Field: The Concept of Culture in Gramsci and in Anthropology
Social Sciences,Anthropology,Delson,Eric,ANTHROPOLOGY,LEHMAN COLLEGE,PROF,"$3,262.00",Biogeochronology of Seneze: a key marker locality for European Villafranchian mammalian evolution
Social Sciences,Anthropology,Edelman,Marc,ANTHROPOLOGY,HUNTER COLLEGE,PROF,"$3,262.00",Peasant Politics in Global Arenas
Social Sciences,Anthropology,Flam,Louis,ANTHROPOLOGY,LEHMAN COLLEGE,ASSCP,"$3,262.00","Archaeological Excavations at Ghazi Shah, Sindh, Pakistan: The Indus Civilization Settlement"
Social Sciences,Anthropology,Laderman,Carol,ANTHROPOLOGY,CITY COLLEGE,PROF,"$3,262.00",Tradition and Change in Malay Healing
Social Sciences,Anthropology,Lagos,Maria,ANTHROPOLOGY,LEHMAN COLLEGE,ASSCP,"$3,262.00",Memories and Legacies: The Testimonial History of the Housewives' Committee of Siglo XX Bolivia
Social Sciences,Anthropology,Leftoff,Sondra,PSYCHOLOGY,JOHN JAY,ASSCP,"$3,262.00",Navajo Peacemaking: Navajo justice and narratives of dislocation
Social Sciences,Anthropology,McGovern,Thomas,ANTHROPOLOGY,HUNTER COLLEGE,PROF,"$3,262.00",Landscapes of settlement in North Iceland
Social Sciences,Anthropology,Mencher,Joan,ANTHROPOLOGY,LEHMAN COLLEGE,PROF,"$3,262.00",Prospects for Small scale sustainable agriculture in South India: A preliminary investigation of the forces opposing and strategies promoting their spread
Social Sciences,Anthropology,Mifflin,Margot,ENGLISH,LEHMAN COLLEGE,ASSTP,"$4,078.00",Maori Women and the New Mako
Social Sciences,Anthropology,Perdikaris,Sophia,ANTHROPOLOGY,BROOKLYN COLLEGE,ASSTP,"$5,297.00",North Atlantic Coastal Community Radiocarbon Project 2001
Social Sciences,Anthropology,Sider,Gerald,"PSYCH, SOCIO, ANTHRO, AND SOC",COLLEGE OF STATEN ISLAND,PROF,"$3,262.00",Coping with the transformation of livelihood in coastal North Carolina: the construction of local culture and state programs in Robeson County
Social Sciences,Anthropology,Snyder,Katherine,ANTHROPOLOGY,QUEENS COLLEGE,ASSTP,"$5,297.00",Democracy and Civil Society in Tanzania: Local and National Perspectives
Social Sciences,Anthropology,Szalay,Frederick,ANTHROPOLOGY,HUNTER COLLEGE,PROF,"$3,262.00",Paleoanthropological significance  of ecological morphology of ungulate postcrania from himinid bearing localities of East and South Africa
Social Sciences,Anthropology,Wall,Diana,ANTHROPOLOGY,CITY COLLEGE,ASSCP,"$3,262.00",The Roles of Class and Ethnicity in the Construction of Gender in 19th Century working class New York
Social Sciences,Anthropology,Wodajo,Tsegaye,ENGLISH,BRONX C. C.,ASSTP,"$2,000.00",Hopes in the Midst of Despair: A Novelist's Cures for Black Africa
Social Sciences,Communication Arts & Sciences,Buttaro,Lucia,COMMUNICATIONS,KINGSBOROUGH C. C.,ASSTP,"$1,500.00",Cultural Linguistic and Educational Adjustments of Adult ESL Hispanic Women in New York
Social Sciences,Communication Arts & Sciences,Gander,Eric,COMMUNICATIONS,BARUCH COLLEGE,ASSTP,"$3,945.00",Educating the Public Mind: Teaching Rhetoric and Citizenship in the 21st Century
Social Sciences,Communication Arts & Sciences,Haas,Tanni,SPEECH,BROOKLYN COLLEGE,ASSTP,"$5,500.00",The Theory and Practice of Public Journalism
Social Sciences,Communication Arts & Sciences,Lu,Shuming,SPEECH,BROOKLYN COLLEGE,ASSTP,"$5,500.00",Ethnographic Study of Chinese Negotiations: Implications for American Chinese Communication
Social Sciences,Communication Arts & Sciences,Wong,Cindy,PERFORMING ARTS,COLLEGE OF STATEN ISLAND,ASSTP,"$3,945.00","Film Festivals: Cinema, Globalization, Civics, and Social Practices"
Social Sciences,"Economics, Finance & Accounting",Amoo,Taiwo,ECONOMICS,BROOKLYN COLLEGE,ASSCP,$250.00,Evaluating the validity of rating scales used to measure overall performance and satisfaction
Social Sciences,"Economics, Finance & Accounting",Bali,Turan,ECONOMICS,BARUCH COLLEGE,ASSTP,"$6,000.00",Nonlinear Parametric  Models of the Short Rate and Implications on the Prices of Caps and Floors
Social Sciences,"Economics, Finance & Accounting",Bhattacharya,Anindya,ECONOMICS,BROOKLYN COLLEGE,ASSTP,"$1,400.00",The Asian Financial Crisis: Evaluating the Market Intervention Policies of Malaysian and Hong Kong Regulators
Social Sciences,"Economics, Finance & Accounting",Cakici,Nusret,ECONOMICS,CITY COLLEGE,ASSCP,"$6,000.00",A Global Portfolio Allocation Strategy Under some practical constraints
Social Sciences,"Economics, Finance & Accounting",Darrough,Masako,ACCOUNTANCY,BARUCH COLLEGE,PROF,"$2,700.00",R& D Expenditures and IPO: The Japanese Case
Social Sciences,"Economics, Finance & Accounting",Das,T.K.,MANAGEMENT,BARUCH COLLEGE,PROF,"$1,599.00","Risk Taking in Strategic Alliance Formation : The Roles of Trust, Control, and Risk Perception"
Social Sciences,"Economics, Finance & Accounting",Deng,Zhen,ACCOUNTANCY,BARUCH COLLEGE,ASSTP,"$5,000.00",Accounting for intangible assets
Social Sciences,"Economics, Finance & Accounting",Ghosh,Aloke,ACCOUNTANCY,BARUCH COLLEGE,ASSCP,"$3,800.00",Quality and Pricing of Earnings Under Sustained Growth
Social Sciences,"Economics, Finance & Accounting",Golbe,Devra,ECONOMICS,HUNTER COLLEGE,PROF,"$5,000.00","Tipping, Runups and Takeover Premia"
Social Sciences,"Economics, Finance & Accounting",Goodspeed,Timothy,ECONOMICS,HUNTER COLLEGE,ASSCP,"$3,800.00","Taxes, Growth and Human Capital: Evidence from U.S. States"
Social Sciences,"Economics, Finance & Accounting",Hamilton,Jay,PUBLIC MANAGEMENT,JOHN JAY,ASSTP,"$1,514.00","Gift giving, Sharing, and Other Ways People get Marijuana without paying for it"
Social Sciences,"Economics, Finance & Accounting",Hwang,Lee-Seok,ACCOUNTANCY,BARUCH COLLEGE,ASSCP,"$3,800.00",Compensation of Outside  Directors : An Empirical Analysis of Economic Determinants
Social Sciences,"Economics, Finance & Accounting",Kaestner,Robert,SCHOOL OF PUBLIC AFFAIRS,BARUCH COLLEGE,PROF,"$2,700.00",Can Changes in Fringe Benefits and Working Conditions Explain the Weak Employment Effects of the Minimium wage?
Social Sciences,"Economics, Finance & Accounting",Kim,Chansog,ACCOUNTING,QUEENS COLLEGE,ASSTP,"$6,000.00",Analyst Herding Behavior and Multi-nationality
Social Sciences,"Economics, Finance & Accounting",Nyman,Ingmar,ECONOMICS,HUNTER COLLEGE,ASSTP,"$4,500.00",Dividends vs. Share Repurchases: Ownership Concentration and Managerial Control
Social Sciences,"Economics, Finance & Accounting",Osborne,Theresa,ECONOMICS,HUNTER COLLEGE,ASSTP,"$4,450.00",The Productivity Effects of Health in Rural Economics.
Social Sciences,"Economics, Finance & Accounting",Reimers,Cordelia,ECONOMICS,HUNTER COLLEGE,PROF,"$2,700.00",The Impact of Unskilled Immigration on the Wage Distributions of Low skilled and highly skilled men & women
Social Sciences,"Economics, Finance & Accounting",Sahay,Savita,ACCOUNTANCY,BARUCH COLLEGE,ASSTP,"$2,900.00",A Detailed Survey of Cost based transfer pricing in American Industry
Social Sciences,"Economics, Finance & Accounting",Tan,Christine,ACCOUNTANCY,BARUCH COLLEGE,ASSTP,"$5,000.00",Bankruptcy Risk and Merger Premium: An Empirical Investigation of Takeovers of Financially Distressed Firms
Social Sciences,"Economics, Finance & Accounting",Uctum,Merih,ECONOMICS,BROOKLYN COLLEGE,ASSCP,"$5,000.00",Feedback Effects and Intertemporal Budget constraints vs. Developed Economics
Social Sciences,"Economics, Finance & Accounting",Ziamou,Paschalina,MARKETING,BARUCH COLLEGE,ASSTP,"$5,000.00",Commercializing New Technologies: Consumers' Response to a New Interface
Social Sciences,Education,Aneke,Norbert,BUSINESS EDUCATION,NYC TECHNICAL COLLEGE,ASSTP,"$3,660.00",Teachers' Concern About Integration of Academic and Applied Subjects.
Social Sciences,Education,Borgese,Anthony,TRAVEL & TOURISM,KINGSBOROUGH C. C.,LECTR,"$3,840.00","""At Risk Students and Virtual Enterprise"""
Social Sciences,Education,Brainin,Sema,CURRICULUM & TEACHING,HUNTER COLLEGE,ASSCP,"$3,840.00",Critical Issues and Effective Strategies in Middle School U.S. History Education: Lessons from a College-School Collaboration.
Social Sciences,Education,Bushnell,Mary,EARLY CHILDHOOD EDUCATION,QUEENS COLLEGE,ASSTP,"$4,678.00",Identity Construction Among New Public School Teachers
Social Sciences,Education,Cherkas,Barry,MATHEMATICS,HUNTER COLLEGE,PROF,"$4,115.00","The effect of Internet based, at home quizzes on learning precalculus."
Social Sciences,Education,Colon,Israel Jr.,BUSINESS EDUCATION,NYC TECHNICAL COLLEGE,ASSTP,"$3,840.00",Trade & Industrial Education Teachers' Perceptions of Teacher Preparation Standards.
Social Sciences,Education,Costigan,Arthur,SECONDARY EDUCATION,QUEENS COLLEGE,ASSTP,"$3,559.00",A Study of How Secondary English Education Students Perceive Their Chosen Academic Field.
Social Sciences,Education,DeMeo,Stephen,CURRICULUM & TEACHING,HUNTER COLLEGE,ASSTP,"$4,840.00",Educational Research vs. the Textbook: A National Survey of chemistry educators to determine their use of dimensional analysis and proportional reasoning to solve stiochoimetry problems
Social Sciences,Education,Denis,Livia,EDUCATION,BROOKLYN COLLEGE,ASSTP,"$3,660.00",Descriptions of analogues of mathematical concepts starting from a variety of individuals' interests and/or hobbies.
Social Sciences,Education,Dhingra,Koshi,EDUCATION,BROOKLYN COLLEGE,ASSTP,"$3,660.00",Analysis of Semiotic Resources on Internet Mediated Science
Social Sciences,Education,Donoghue,Eileen,EDUCATION,COLLEGE OF STATEN ISLAND,ASSCP,"$4,840.00",Historical Tales & Mathematics Texts: The Role of History in American Matematics Textbooks.
Social Sciences,Education,Epstein,Terrie,CURRICULUM & TEACHING,HUNTER COLLEGE,ASSTP,"$5,554.00",Multicultural Perspectives & Practices of Preservice and Beginning History Teachers.
Social Sciences,Education,Forbes,David,EDUCATION,BROOKLYN COLLEGE,ASSTP,"$5,670.00",Turn the Wheel: Enlightened Counseling for Adolescent Males.
Social Sciences,Education,Fusco,Dana,PSYCHOLOGY,YORK COLLEGE,ASSTP,"$4,340.00",Participatory Evaluation: A Tool for Development? Year Two
Social Sciences,Education,Gold,Kenneth,EDUCATION,COLLEGE OF STATEN ISLAND,ASSTP,"$3,840.00","""School's In: Summer Education and American Public Schools, 1840-2000"""
Social Sciences,Education,Kasper,Loretta,ENGLISH,KINGSBOROUGH C. C.,ASSCP,"$3,840.00",Interactive Hypertext as a Tool for Building ESL Students' Reading Skills
Social Sciences,Education,Kritt,David,EDUCATION,COLLEGE OF STATEN ISLAND,ASSTP,"$5,130.00",The first week of preschool: Entry Behaviors and Initial socialization
Social Sciences,Education,Louis,Linda,EDUCATION,BROOKLYN COLLEGE,ASSTP,"$2,822.00",Graphic Representation in Early Childhood
Social Sciences,Education,Luchow,Jed,EDUCATION,COLLEGE OF STATEN ISLAND,ASSCP,"$1,955.00","A Renewal Study: Ethnographic analysis of  "" The Effect of educational software training on the attitude and self-efficacy of preservice/inservice teachers: an interactive approach to technology"""
Social Sciences,Education,Maloney,Wendy Hall,EDUCATIONAL SERVICES,BROOKLYN COLLEGE,ASSCP,"$3,200.00",What if takes to be a winner: An analysis of  successful SEEK students' attitudes and behaviors
Social Sciences,Education,McCormick,Jennifer,EDUCATION,BROOKLYN COLLEGE,ASSTP,"$5,060.00",Writing in the Asylum: Sanctuary in Student Poetry
Social Sciences,Education,Mlynarczyk,Rebecca,ENGLISH,KINGSBOROUGH C. C.,ASSCP,"$3,840.00",Theory & Practice in Language Teacher Education: A Dialectical Relationship
Social Sciences,Education,Ocken,Stanley,MATHEMATICS,CITY COLLEGE,PROF,"$2,450.00",Alegbra tutorial software for CUNY Mathematics courses
Social Sciences,Education,Peskoff, Fred,MATHEMATICS,BOROUGH OF MANHATTAN C. C.,ASSTP,"$3,840.00","The Relationship Between Age, Gender, Math Anxiety and Coping Strategies in College Students: A Developmental Workshop Program"
Social Sciences,Education,Schonfeld,Irvin,EDUCATION,CITY COLLEGE,PROF,"$3,300.00",How Teachers Manage Demanding Events
Social Sciences,Education,Smith,Lorraine,BASIC EDUCATIONAL SKILLS,QUEENSBOROUGH C. C.,ASSTP,"$3,660.00",Content Based Instruction and Its Impact on Student Retention and Academic Performance
Social Sciences,Education,Steinberg,Richard,EDUCATION,CITY COLLEGE,ASSCP,"$3,840.00",Probing Development of Epistemological Beliefs in the Secondary Science Teacher Program at CCNY.
Social Sciences,Education,Tai,Robert,EDUCATION,COLLEGE OF STATEN ISLAND,ASSTP,"$3,840.00",Different Educations: Toward Unveiling the Pervasiveness of Racial and Gender Bias in Science Classrooms
Social Sciences,Education,Wachtel,Howard,MATH & COMPUTER SCIENCE,YORK COLLEGE,ASSTP,"$3,660.00",Faculty Perspectives on Evaluation of College Teaching
Social Sciences,Education,Weiler,Jeanne,EDUCATIONAL FOUNDATIONS,HUNTER COLLEGE,ASSTP,"$3,755.00",The Education and Labor Market Outcomes of Alternative School Students: A Twelve Year Follow up Study
Social Sciences,Education,Wiener,Ariela,"FAMILY, NUTRITION, AND EXERCIS",QUEENS COLLEGE,ASSTP,$950.00,Elementary School Students' Perceptions of Preservice Physical Education Teachers Goals
Social Sciences,Health & Human Services,Acker,Gila,SOCIAL SCIENCE,YORK COLLEGE,ASSTP,"$3,578.00",Role Conflict & ambiguity: Do they predict burnout among mental health service providers?
Social Sciences,Health & Human Services,Aries,Nancy,SCHOOL OF PUBLIC AFFAIRS,BARUCH COLLEGE,ASSCP,"$3,762.00",Formation of abortion Policy within the American College of OB/GYN: 1951-1973
Social Sciences,Health & Human Services,Arliss,Rebecca,HEALTH AND PHYSICAL EDUCATION,KINGSBOROUGH C. C.,ASSTP,"$4,078.00","Do Ethnicity, Gender and Length of Residency in the U.S. Influence Health Risk Behaviors in College Students?"
Social Sciences,Health & Human Services,Cavendish,Roberta,NURSING,COLLEGE OF STATEN ISLAND,ASSCP,"$3,762.00",Nurses' Spiritual Perspectives: Relevance for Education and Practice
Social Sciences,Health & Human Services,Clowers,Marsha,"SPEECH, THEATRE, CINEMA",JOHN JAY,ASSTP,"$3,578.00",Residents and third year medical students' perceptions of communications and communication skills training
Social Sciences,Health & Human Services,Demmer,Craig,HEALTH SERVICES,LEHMAN COLLEGE,ASSTP,"$4,078.00",Adherence to antiretroviral therapies among HIV infected individuals with special life circumstances
Social Sciences,Health & Human Services,Frederickson,Keville,NURSING,LEHMAN COLLEGE,PROF,"$3,765.00",Quality of life Among Cardiac Patients
Social Sciences,Health & Human Services,Gwak,Sung,NURSING,BOROUGH OF MANHATTAN C. C.,ASSCP,"$2,262.00",A Cross Cultural study of concerns of Western and Korean postnatal mothers
Social Sciences,Health & Human Services,Harris-Hastick,Eda,SOCIAL SCIENCE,MEDGAR EVERS COLLEGE,ASSCP,"$2,262.00",A Study of personal and social problems affecting college freshman students at Medgar Evers College & John Jay College and the relationship  to retention.
Social Sciences,Health & Human Services,Lee,Soo-Kyung,URBAN PUBLIC HEALTH,HUNTER COLLEGE,ASSTP,"$4,078.00",Usage of Complementary and Alternative Medicines: An Ethnic Comparative Study
Social Sciences,Health & Human Services,Lubetkin,Erica,MEDICAL SCHOOL,CITY COLLEGE,ASSTP,"$5,580.00",Feasibility of Assessing health related quality of life for patients attending an inner city community health center through self administered surveys
Social Sciences,Health & Human Services,Lundeen,Eleanor,NURSING,LEHMAN COLLEGE,ASSCP,"$3,262.00",Health Problems Among Inner City Children an Adolescents at a summer sleep away camp
Social Sciences,Health & Human Services,Mizrahi,Terry,SOCIAL WORK,HUNTER COLLEGE,PROF,"$3,762.00",A Continuing Longitudinal Study of  Medical Careers and the doctor-patient relationship
Social Sciences,Health & Human Services,Rudan,Vincent,NURSING,LEHMAN COLLEGE,ASSTP,"$3,578.00",An Ethnographic Case Study of a Mixed Gender Work Group
Social Sciences,Law & Criminal Justice,Cohen,James,PUBLIC MANAGEMENT,JOHN JAY,ASSCP,"$3,264.00",Tax Expenditure Effects on Capital Markets for Public Investment
Social Sciences,Law & Criminal Justice,Haberfeld,Maria,LAW AND POLICE SCIENCE,JOHN JAY,ASSTP,"$4,078.00",Community Policing in Poland
Social Sciences,Law & Criminal Justice,Kirschner,Stuart,PSYCHOLOGY,JOHN JAY,ASSCP,"$4,078.00",Assessing Dangerousness in Insanity Acquittees: factors Related to the Decision Making Process
Social Sciences,Law & Criminal Justice,Ma,Yue,LAW AND POLICE SCIENCE,JOHN JAY,ASSTP,"$4,078.00",Community Policing and Police Accountability in China
Social Sciences,Law & Criminal Justice,Manatu,Norma,"SPEECH, THEATRE, CINEMA",JOHN JAY,ASSTP,"$4,078.00",Nonverbal Behaviors as incitement to violence in police stops of African American males
Social Sciences,Law & Criminal Justice,Morin,Jose Luis,PUERTO RICAN STUDIES,JOHN JAY,ASSTP,"$4,078.00","The Police and Latino Communities: Problems, Perspectives and Potential for Change"
Social Sciences,Law & Criminal Justice,Schulz,Dorothy,LAW AND POLICE SCIENCE,JOHN JAY,ASSCP,"$3,262.00",Cracking the Brass Ceiling: A Study of the Career Paths of Women Police Chiefs and Sheriffs
Social Sciences,Law & Criminal Justice,Silverman,Eli,LAW AND POLICE SCIENCE,JOHN JAY,PROF,"$3,262.00",The NYPD: Assessing Organizational and Strategic Changes: Precinct II
Social Sciences,Law & Criminal Justice,Terry,Karen,LAW AND POLICE SCIENCE,JOHN JAY,ASSTP,"$4,078.00",Therapeutic Tyranny as Social Policy: Analyzing the Effectiveness of SVP Legislation
Social Sciences,Law & Criminal Justice,Volpe,Maria,SOCIOLOGY,JOHN JAY,PROF,"$3,262.00",Understanding Police Mediation: Promises and Challenges
Social Sciences,Linguistics,Fodor,Janet,LINGUISTICS,GRADUATE SCHOOL,DISTP,"$3,636.00",Characteristics of the Input Sample For Syntax Acquisition.
Social Sciences,Linguistics,Newman,Michael,LINGUISTICS,QUEENS COLLEGE,ASSTP,"$4,078.00",Sociolinguistic Variation in a NYC Secondary School
Social Sciences,Linguistics,Parikh,Rohit,COMPUTER SCIENCE,BROOKLYN COLLEGE,DISTP,"$3,936.00",Applications of Belief Revision
Social Sciences,Linguistics,Teller,Virginia,COMPUTER SCIENCE,HUNTER COLLEGE,PROF,"$1,542.00",Computational Simulation to Determine the Feasibility of Syntactic Parameter Setting
Social Sciences,Linguistics,Valian,Virginia,PSYCHOLOGY,HUNTER COLLEGE,PROF,"$3,936.00",Children's Understanding  and Use of Pronomial Subjects
Social Sciences,Political Science,Agbeyegbe,Omayemi,POLITICAL SCIENCE/GOVERNMENT,QUEENS COLLEGE,LECTR,"$4,436.00",State -Federal Relations and Resource Allocation in Nigeria: A Case of Oil and the delta State
Social Sciences,Political Science,Altenstetter,Christa,POLITICAL SCIENCE/GOVERNMENT,QUEENS COLLEGE,PROF,"$3,123.00",Regulatory Regimes in Transition: The Case of Medical Devices and Patient Care
Social Sciences,Political Science,Bolce,Louis,POLITICAL SCIENCE/GOVERNMENT,BARUCH COLLEGE,ASSCP,"$3,123.00","Symbolic Politics, Elite Consensus and the Political Contextualization of Anti-Christian Fundamentalist Sentiment"
Social Sciences,Political Science,DiGaetano,Alan,POLITICAL SCIENCE/GOVERNMENT,BARUCH COLLEGE,PROF,"$3,123.00",The Origins and Development of the Modern Local State: A  Historical Comparative Perspective
Social Sciences,Political Science,Dwyer,Jennifer,POLITICAL SCIENCE/GOVERNMENT,HUNTER COLLEGE,ASSTP,"$4,078.00",Explaining the Creation of Japan's Financial Supervisory Agency
Social Sciences,Political Science,Flanagan,Richard,POLITICAL SCIENCE/GOVERNMENT,COLLEGE OF STATEN ISLAND,ASSTP,"$4,078.00","Chief Executives: The Symbiotic Politics of Presidents, Mayors and Governors."
